context_id	context
23	 Gerechtigkeit ist multidimensional.   Wenn Sozialpolitik Gerechtigkeit fördern soll, wird es notwendigerweise komplex.   Im Folgenden geht es um eine Reduktion dieser Komplexität, ohne sie zu verletzen.   Wir konzentrieren uns auf soziale Gerechtigkeit und lassen damit andere Aspekte der Gerechtigkeit außer Acht, beispielsweise das gerechte Handeln in kleinen Gemeinschaften oder die Frage, wie der Einzelne göttlichen und natürlichen Grenzen gerecht wird.   Soziale Gerechtigkeit kann auf den ersten Blick vor allem als Programm gegen Ungleichheit verstanden werden.   Doch damit gelangt man noch nicht zur gewünschten Klarheit.   Denn auch Ungleichheit hat verschiedene Dimensionen, zum Beispiel Einkommen, Vermögen, Talente, Geschlecht oder Bildung.   Hinzu kommt die stets strittige Frage, was Sozialpolitik, ja Politik überhaupt und wem gegenüber verändern kann.  Es scheint also sinnvoll, den Zusammenhang von Gerechtigkeit und Sozialpolitik etwas grundsätzlicher zu analysieren.   Es wird sich zeigen, dass Sozialpolitik zur Gerechtigkeit in der Tat sehr wesentlich beitragen kann. 
24	 Im ALLBUS, der Allgemeinen Bevölkerungsbefragung der Sozialwissenschaften von 2000 wurde das Statement 'Der Staat muss dafür sorgen, dass man auch bei Krankheit, Not, Arbeitslosigkeit und Alter ein gutes Auskommen hat' abgefragt.   Die Betonung lag hier also auf 'gutes Auskommen', was eine Art Lebensstandardsicherung impliziert.   Bemerkenswerterweise ist hier das Antwortverhalten gegliedert nach den Parteipräferenzen (vgl. Tabelle 3): Insgesamt ist die Zustimmung zu einem sozialpolitischen Gesellschaftsvertrag in Deutschland und Europa also außerordentlich hoch.   Wie korrespondieren diese empirischen Beobachtungen mit den Sozialpolitikkonzeptionen und den in ihnen eingelagerten Gerechtigkeitsmodellen?   Dies soll im letzten Abschnitt genauer untersucht werden.
25	" In Deutschland lebten Ende 2006 ungefähr sieben Millionen ausländische Staatsbürger, die Mehrzahl von ihnen seit langem - die durchschnittliche Aufenthaltsdauer liegt bei 17 Jahren.   Die Frage, ob die Integration der ausländischen Bevölkerung in die deutsche Gesellschaft gelungen ist, wird in letzter Zeit intensiv diskutiert, wobei häufig eher skeptische Töne zu vernehmen sind.   Von ""Parallelgesellschaften"" ist die Rede, ""Leitkultur""-Debatten werden geführt oder sogar das Ende des Multikulturalismus ausgerufen.   Um ein Bild davon zu erhalten, wie es aus Sicht der deutschen Bevölkerung um das Verhältnis zwischen Einheimischen und Ausländern bestellt ist, wird im Folgenden untersucht, wie die Deutschen die hier lebenden Ausländer sehen, welche Einstellungen sie ihnen gegenüber haben und inwieweit Kontakt zwischen Deutschen und Ausländern in unterschiedlichen Lebensbereichen bestehen. "
26	 In der Allgemeinen Bevölkerungsumfrage der Sozialwissenschaften (ALLBUS) wurde seit 1980 wiederholt die Zustimmung zu verschiedenen Aussagen erfasst, die restriktive bzw. diskriminierende Forderungen gegenüber Ausländern beinhalten.   Im Einzelnen sind dies: ob die in Deutschland lebenden Ausländer ihren Lebensstil ein bisschen besser an den der Deutschen anpassen sollten, ob sie wieder in ihre Heimat zurückgeschickt werden sollten, wenn Arbeitsplätze knapp werden, ob ihnen jede politische Betätigung in Deutschland untersagt werden sollte und ob sie sich ihre Ehepartner unter ihren eigenen Landsleuten auswählen sollten.   Mit Abstand am meisten Zustimmung findet im Jahr 2006 die vergleichsweise gemäßigte Forderung nach »ein bisschen« mehr Lebensstilanpassung der hier lebenden Ausländer, die von einer deutlichen Mehrheit der befragten erwachsenen Deutschen unterstützt wird.   Den anderen Aussagen, in denen Ausländern eine gleichberechtigte Teilhabe am gesellschaftlichen Leben abgesprochen wird, stimmen die meisten Befragten eher nicht zu.   Das gilt insbesondere für die Forderung nach Endogamie, also danach, dass die Ausländer »unter sich« heiraten sollten, von der sich knapp drei Viertel der Westdeutschen und etwas weniger als zwei Drittel der Ostdeutschen distanzieren.   Im Allgemeinen äußern sich die Ostdeutschen weniger ausländerfreundlich als die Westdeutschen.   Lediglich im Hinblick auf die Einstellung zu einem Verbot jeglicher politischer Betätigung für Ausländer gibt es keine Unterschiede zwischen Ost- und Westdeutschen.
27	 In West und Ost gilt: je gebildeter desto »ausländerfreundlicher«.  Lediglich die Forderung nach einer etwas stärkeren Anpassung der Ausländer an deutsche Gepflogenheiten wird von den Personen mit höherer formaler Bildung mittlerweile fast genauso häufig unterstützt wie von den Personen mit einem niedrigeren allgemeinbildenden Schulabschluss.  Dies war bei der letzten Erhebung 2002 noch anders.   Damals war der Anteil der hier Zustimmenden unter den Befragten mit Abitur deutlich niedriger als unter den Hauptschulabsolventen (mit 56% gegenüber 84% um 28 Prozentpunkte im Westen und mit 51 % gegenüber 87 % sogar um 36 Prozentpunkte im Osten).
28	 Eine vergleichbare Entwicklung ist auch bei der sozialen Distanz der Deutschen zu diesen Gruppen zu beobachten, die mit zwei Fragen erfasst wird.   Die eine Frage zielt darauf ab, wie angenehm oder unangenehm es dem Befragten wäre, einen Angehörigen der jeweiligen Fremdgruppe als Nachbarn zu haben, die andere darauf, wie (un-)angenehm es ihm wäre, wenn ein Angehöriger der jeweiligen Gruppe in seine Familie einheiraten würde.   Ein Italiener als Nachbar war und ist kaum einem der deutschen Befragten unangenehm.  Die Vorstellung, dass ein Italiener in die eigene Familie einheiratet, war bereits 1996 nur für 17 % der Westdeutschen mit negativen Gefühlen verbunden; 2006 ist dies noch seltener (11 %) der Fall.  Auch bei den Ostdeutschen ist die 1996 noch deutlich erkennbare Skepsis – 30 % gaben damals an, dass ihnen dies unangenehm wäre – inzwischen weitgehend verschwunden (17%).  Weitaus größer ist die soziale Distanz gegenüber den Türken. 
29	 Der Anteil derjenigen, denen ein türkischer Nachbar unangenehm wäre, ist seit 1996 sogar angestiegen, im Westen von 33 auf 38% und im Osten von 43 auf 49%.
30	 Die Wahrnehmung kultureller Unterschiede zwischen Ausländern und Deutschen, sagt noch nichts darüber aus, wie diese Unterschiede bewertet werden.   Rückschlüsse darauf lässt die Bewertung der Aussage zu, dass die in Deutschland lebenden Ausländer die hiesige Kultur bereichern.  Dieser Aussage stimmen im Jahr 2006 44 % in den alten und 39 % in den neuen Bundesländern eher zu.  Ein im Osten gleich großer, im Westen etwas kleinerer Anteil (34 %) der befragten Deutschen sieht dies eher nicht so.   Die Meinungen darüber, wie das Nebeneinander unterschiedlicher Kulturen in der deutschen Gesellschaft zu bewerten ist, gehen also auseinander, wobei keine klare Mehrheitsmeinung zu erkennen ist. 
31	 Begegnungen zwischen Deutschen und Ausländern können in verschiedenen Lebensbereichen stattfinden, bei der Arbeit, in der Nachbarschaft, in der Familie oder im Freundes- und Bekanntenkreis.  Generell werden im Osten für alle diese Kontexte seltener Kontakte zu Ausländern berichtet, was angesichts des weitaus geringeren Ausländeranteils in den neuen Bundesländern – ca. 2% gegenüber ca. 9% im Westen – nicht verwundert.   Während im Westen 78 % der Befragten mindestens in einem der Lebensbereiche über Kontakte mit Ausländern verfügen, haben 58% der Ostdeutschen in keinem der vier Bereiche Kontakte mit Ausländern.   Am häufigsten – mit 55% im Westen und 24% im Osten – sind Kontakte im Freundes- und Bekanntenkreis.   Diese Kontakte sind als Indikator für eine gelungene Integration insofern von besonderer Bedeutung, als es sich hier um freiwillige, selbst gewählte Beziehungen handelt. 
32	 Zusammenfassung:   Die demografische Zukunft stellt eine Gesellschaft wie die bundesrepublikanische in Deutschland nicht nur in ihren sozialen wie ökonomischen Systemen vor immense Herausforderungen, sondern stellt auch die Religion und in Deutschland insbesondere die christliche Kirche mit ihren unterschiedlichen Arbeitsfeldern vor besondere Aufgaben.   In diesem Research Report wird der aktuelle, für die Praktische Theologie relevante Forschungsstand zum Themenbereich von Religion und Alter vorgestellt, wie er sich in der deutschsprachigen Debatte darstellt.   Dabei werden gerontologische Perspektiven ebenso berücksichtigt wie religionspsychologische und religionssoziologische Forschung oder handlungsfeldorientierte Arbeiten aus der Seelsorge und Religionspädagogik.   Ein eigener Schwerpunkt wird auf die besonderen Herausforderungen gelegt, die der theologischen Reflexion wie kirchlich-praktischen Arbeit aus den Phänomenen der Demenz erwachsen. 
33	In fünf der sechs Dimensionen der Religiosität finden sich höhere Intensitäts-Werte bei den älteren als bei den jüngeren Vergleichsgruppen, die die bereits aufgeführten Ergebnisse bestätigen: Der Kirchgang als Teil der öffentlichen religiösen Praxis findet sich bei den über 60-Jähirgen der Befragten deutlich häufiger als bei den jüngeren Kohorten, ebenso das persönliche Gebet als Teil der privaten religiösen Praxis.   Ältere Menschen machen außerdem häufiger die Erfahrung, dass Gott in ihr Leben eingreift (Erfahrungsdimension).   Nach Selbsteinschätzung sind auch die Auswirkungen der Religiosität auf andere Lebensbereiche höher (Dimension der Konsequenzen).   Schließlich haben ältere Menschen ein größeres Interesse an religiösen Themen (Intellektuelle Dimension).   Die psychologische Kategorie der Zentralität der Religiosität schließlich ist bei den über 60-Jährigen wesentlich höher ausgeprägt: Unter ihnen finden sich im Vergleich zu jüngeren Kohorten und zur Gesamtbevölkerung mit 28% die meisten der innerhalb des Modells sogenannten ‚Hochreligiösen‘. 
34	 Das Alter eines Menschen stellt statistisch in der Tat eine signifikante Erklärung dar für eine häufigere konfessionelle Bindung und regelmäßigeren Kirchgang.  Wie bereits erwähnt, beten ältere Menschen, insbesondere über 75 Jahren, häufiger als jüngere Kohorten.   Auch das Vertrauen in die Institution Kirche ist bei Älteren signifikant höher ausgeprägt als bei Jüngeren.   Ein wesentlicher Grund dürfte in der religiösen Sozialisation liegen, da in der Altersgruppe über 75 Jahren signifikant häufiger die Glaubensentwicklung als stetig und gleichbleibend stark bezeichnet wird und außerdem häufiger die Eltern bereits konfessionell gebunden und regelmäßigere Gottesdienstbesucher waren, was sich auch im höheren Gottesdienstbesuch in der Kindheit niederschlägt, wie es die Daten des ALLBUS belegen.   Auch die eigene Einschätzung, ob man sich für religiös hält, wird bei den über 75-Jährigen signifikant höher eingeschätzt als in den jüngeren Kohorten – interessanterweise verschwindet diese Charakteristik in der eigenen Selbsteinschätzung als spirituell, was mit der alltagsweltlichen Füllung des Begriffs insbesondere im Blick auf seine nicht institutionalisierten Eigenschaften auf der einen und dem vermutlich kaum gebrauchten Begriff „Spiritualität“ bei den älteren Kohorten zusammenhängen dürfte.   Auf der Ebene der Inhalte ist der Befund interessant, dass der Glaube an ein Leben nach dem Tod mit dem Alter signifikant abnimmt – im Alter zwischen 75 und 89 glauben die wenigsten an ein solches, 33,6% glauben wahrscheinlich oder ganz sicher daran gegenüber 48,4% bei den 30–44-Jährigen. 
35	 Seit dem starken Fertilitätsrückgang Ende der 1960er Jahre zählt Deutschland zu den Ländern mit der niedrigsten Geburtenziffer in Europa.   Die niedrigsten Geburtenraten stehen scheinbar im Widerspruch zu dem hohen Stellenwert, den die Familie bei jungen Menschen immer noch genießt und auch zu der gewünschten Kinderzahl, wie sie in verschiedenen Studien ermittelt wurde.   Mittels Daten einer Längsschnittstudie vergleicht dieser Beitrag anhand einer Eheschließungskohorte von 1988/89 aus den alten Bundesländern den ursprünglichen Kinderwunsch zu Ehebeginn und die erreichte Kinderzahl nach 15 Jahren Ehe. 
36	Demgegenüber zeigen aktuelle Ergebnisse des Eurobarometers mittlerweile eine andere Tendenz.  Demnach ist scheinbar auch der Kinderwunsch in Deutschland neuerdings rückläufig: „Der Kinderwunsch in Deutschland ist schlichtweg niedriger als immer noch angenommen.  Aussagen, dass der Kinderwunsch im Kern noch immer auf die Zwei-Kind-Familie orientiert [ist], scheinen nicht mehr ganz zutreffend geworden zu sein“.  Auch bei der Population Policy Acceptance Study scheint sich dieser Trend zu bestätigen: 36% der kinderlosen befragten Männern und ein Viertel der kinderlosen Frauen zwischen 18 und 35 Jahren gaben an, keine Kinder zu wollen. 
37	" Die soziale und ökonomische Ungleichheit hat - folgt man der Berichterstattung der Medien und Studien internationaler Organisationen - in den zurückliegenden Jahren oder sogar Jahrzehnten in vielen Gesellschaften - darunter auch Deutschland - nicht unerheblich zugenommen.  Das gilt in besonderem Maße für die Ungleichheit der Verteilung der Einkommen, wie z.B. aus Studien der OECD (2008,2011) hervorgeht.   Ursachen für diese Entwicklung werden in Veränderungen demographischer und sozialer Strukturen sowie in der Deregulierung der Arbeitsmärkte, aber nicht zuletzt auch in der Finanzkrise gesehen.   Ob und wie soziale und ökonomische Ungleichheit die Wohlfahrt und Lebensqualität der Bürger beeinträchtigen, ist gegenwärtig Gegenstand intensiver und zum Teil auch kontroverser Diskussionen.   Aber wenn die Behauptung zutreffen sollte, dass ""der Abbau von Ungleichheiten der beste Weg zu Verbesserung unserer sozialen Lebenswelt und damit der Lebensqualität für alle ist"" (Wilkinson/Pickett 2010: 44), muss eine Zunahme der Ungleichheit Besorgnis erwecken. "
38	 Verteilung der Einkommen sollte sich nicht nur an Leistung, sondern auch an Bedarfskriterien orientieren.  Inwieweit das Leistungsprinzip uneingeschränkt gelten oder sich die Verteilung auch an Bedarfsgesichtspunkten orientieren sollte, wird an der Zustimmung zu der folgenden Aussage gemessen: „Das Einkommen sollte sich nicht allein nach der Leistung des Einzelnen richten. Vielmehr sollte jeder das haben, was er mit seiner Familie für ein anständiges Leben braucht“.   Eine derartige Relativierung des Leistungsprinzips durch Bedarfsgesichtspunkte befürworten im Jahre 2010 mit 58% der westdeutschen und 56% der ostdeutschen Befragten eine deutliche Mehrheit der Bevölkerung (Tabelle 2). Die Ansicht, dass sich die Höhe des Einkommens auch nach Bedarfsgesichtspunkten richten solle, wird von älteren Befragten häufiger vertreten als von jüngeren und von Personen mit niedrigem Schulabschluss häufiger als von höher gebildeten. Erwartungsgemäß nimmt die Zustimmung zu einer Relativierung des Leistungsprinzips durch Bedarfskriterien mit steigendem Haushaltseinkommen ab. 
39	 Dass Ungleichheit im Allgemeinen und Einkommensdifferenzen im Besonderen erforderlich seien, um Leistungsanreize zu bieten, ist eine weitverbreitete These, die sich auch in dem aus der politischen Diskussion bekannten Slogan „Leistung muss sich (wieder) lohnen“ manifestiert.  In der Soziologie ist die These, dass differentielle Belohnungen in Form von Einkommen und Prestige als Anreize für die Leistungserfüllung in unterschiedlich relevanten und anspruchsvollen Rollen und Positionen erforderlich und damit legitim seien, aus der funktionalistischen Schichtungstheorie bekannt.  Wie aber steht die Bevölkerung zu dieser Behauptung?   Der Aussage „nur wenn die Unterschiede im Einkommen und sozialen Ansehen groß genug sind, gibt es auch einen Anreiz für persönliche Leistung“ stimmten 2010 60% der Befragten zu, wobei die Zustimmung in Westdeutschland (62%) höher ausfällt als in Ostdeutschland (53%). 
40	 Die Frage ob und wie sich die Wahrnehmung und Bewertung von Ungleichheit auf das individuelle subjektive Wohlbefinden auswirkt, wurde mithilfe von Regressionsanalysen geprüft (Tabelle 3).   Als abhängige Variable und Maß für das subjektive Wohlbefinden wurde dabei die im ALLBUS 2010 erstmals erhobene Lebenszufriedenheit verwendet.   Untersucht wird dabei der Einfluss der folgenden Dimensionen der Ungleichheitsperzeption und -bewertung, die als unabhängige Variablen in die Analyse eingehen:  - Wahrnehmung und Lokalisierung der eigenen Position in der Schichtungshierarchie. - Wahrnehmung und Bewertung der Bildungschancen.   - Subjektive Beurteilung der Gerechtigkeit der sozialen Unterschiede. 
41	"Die ""Regional-Citizenship-These"" knüpft an die Vermutung einer verstärkten Konzentration subjektiver Bezogenheit auf das Bundesland als politischem Kontext in Deutschland und Österreich an. Sie stellt sich explizit gegen eine Unitarisierung, d.h. primär nationalstaatliche Ausrichtung von citizenship. Ihr zufolge wäre zu erwarten, dass sich die drei Dimensionen von citizenship nicht mehr in erster Linie auf den Nationalstaat, sondern vielmehr auf die Ebene des Bundeslandes beziehen. Regional citizenship müsste sich also in Österreich und Deutschland trotz der unitarischen Förderalismuskonzeption behaupten und politische Perspektiven bieten. Ein erstes Indiz für die Bestätigung dieser These bieten Studien, die für die beiden Länder eine durchwegs starke Identifikation mit der regionalen Ebene feststellen: Für Deutschland ergibt sich laut Allbus (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften) in Bezug auf die Frage nach der Verbundenheit mit dem Bundesland und den dort lebenden Bürgern in den Jahren 1991, 2000 und 2008, in denen diese Frage aufgegriffen wurde, die leichte Tendenz zu einer sich stärkenden regionalen Bindung. Das Eurobarometer bestätigt eine konstant hohe Bindung der Bürger über die letzten Jahre hinweg (von 1999 bis 2006 mit Prozentwerten um die 86 bis 90 Prozent der Befragten, die sich sehr und ziemlich stark mit der Region verbunden fühlen). Im Fall Österreich sieht es ähnlich aus: Die im Eurobarometer gestellte Frage nach der Verbundenheit zur Region ergibt für die letzten zehn Jahre äußerst hohe Werte um die 88 bis 94 Prozent. Die Werte bleiben konstant und haben sich in einigen Regionen sogar verstärkt. Es ist zu überprüfen, ob dieser Befund zur (regionalen) Identität von unseren Daten bestätigt wird und wenn ja, ob damit einhergehend auch eine Regionalisierung der beiden anderen Dimensionen von citizenship festzustellen ist."
42	Der Artikel untersucht die Einstellungen in der Mittelschicht zu sozialer Absicherung.  Insbesondere analysieren wir, wie die unterschiedlichen Einstellungen innerhalb der Mittelschicht polit-ökonomisch erklärt werden können. Unsere Ergebnisse zeigen, dass, neben der traditionellen sozialstaatskritischen Einstellung der Selbständigen, insbesondere Bildung und berufstypische Arbeitslogiken (technisch, organisatorisch oder personenbezogen) für unterschiedliche Einstellungen in der Mittelschicht verantwortlich sind. Personen mit akademischer Bildung sind häufiger sozialstaatskritisch, während Beschäftigte in personenbezogenen Dienstleistungen staatliche Einkommensabsicherung deutlich unterstützen. Diese Unterschiede gelten insbesondere für die Mittelschicht, da sie in der Gesamtbevölkerung schwächer ausfallen. 
43	Die erste Frage lautet: „Sollten die Sozialleistungen in Zukunft gekürzt werden oder sollte es so bleiben, wie es ist, oder sollte man die Sozialleistungen ausweiten?“ Diese Frage erhebt direkt sozialpolitische Veränderungswünsche, ist aber diffus in Bezug auf Politikfeld und Empfängerkategorien. Die zweite Frage lautet:„Der Staat muss dafür sorgen, dass man auch bei Krankheit, Not, Arbeitslosigkeit und im Alter ein gutes Auskommen hat“. Hier werden konkrete Lebensrisiken angesprochen, wobei die Frage eher auf stabile wohlfahrtsstaatliche Orientierungen abstellt als auf (möglicherweise volatile) kurzfristige Veränderungswünsche. Die dritte Frage erhebt die Zustimmung zur Aussage: „Wenn die Leistungen der sozialen Sicherheit, wie Lohnfortzahlung im Krankheitsfall, Arbeitslosenunterstützung und Frührenten, so hoch sind wie jetzt, führt dies nur dazu, dass die Leute nicht mehr arbeiten wollen.“ Sie erfasst damit Einstellungen zum typischen „moral hazard“ Problem des Wohlfahrtsstaates. Für diese Variable sind schwächere Unterschiede nach „Risikofaktoren“ wie beruflicher Stellung zu erwarten, da hier vermutlich Werteeinstellungen das Urteil über die intrinsische Arbeitsmoral von Transferempfängern beeinflussen. Unsere erklärenden Variablen operationalisieren wir wie folgt. Zunächst nehmen wir eine Unterteilung in drei Schichten anhand des Haushaltseinkommens vor. Die Mittelschicht liegt zwischen 70% und 150% des Medianeinkommens (vgl. Goebel et al. 2010). Bildungsgrade unterscheiden wir auf Grund der Berufsausbildung in niedrig qualifiziert (keine Ausbildung oder angelernt), mittel qualifiziert (sekundäre Berufsausbildung) und Akademiker. Wie erwähnt, überlappt sich diese Unterscheidung mit einer Kategorisierung der Qualifikationsspezifität.
44	Umfragen bestehen häuﬁg aus Fragen bei welchen die Befragten dazu aufgefordert werden ein Produkt, eine Dienstleistung oder ihre Zufriedenheit auf einer ordinalen Skala zu beurteilen.  Einer solchen Entscheidung geht ein psychologischer menschlicher Entscheidungsprozess voraus.  Dieser Entscheidungsprozess wird in den CUB- und CUP-Modellen, welche die ordinale Beurteilung als Responsevariable verwenden, als eine Mischung einer Präferenz und Unsicherheit angenommen.  Die Präferenz bezieht sich auf eine wohlüberlegte Wahl einer der Kategorien der ordinalen Skala. Die Unentschlossenheit der Befragten wird dabei mit Unsicherheit bezeichnet.  Die erste Komponente , die Präferenz, wird im CUB-Modell mit einer Binomialverteilung modelliert.  Im CUP-Modell hingegen ist jedes mögliche ordinale Modell für die Modellierung erlaubt. Die zweite Komponente entspricht bei beiden Modellen der diskreten Gleichverteilung über die Ausprägungen der ordinalen Responsevariablen.  Der Grund für die Wahl der diskreten Gleichverteilung ist die Einfachheit, die damit einhergeht. Die vorliegende Arbeit befasst sich mit der Verwendung einer ﬂexibleren diskreten Verteilung zur Modellierung der zweiten Komponente: eine spezielle Form der Betabinomialverteilung.  Das so entstehende Modell wird mit BETAMIX-Modell bezeichnet.  Mit der Betabinomialverteilung ist es möglich eine Tendenz zu den mittleren oder den extremen Responsekategorien zu modellieren.
45	Für das zweite Datenbeispiel werden Daten der allgemeinen Bevölkerungsumfrage der Sozialwissenschaften (ALLBUS) 2012 verwendet. Der genutzte Datensatz besteht aus Informationen zu 2946 Personen. Für die Analysen wird das Vertrauen in das Gesundheitssystem („healthsys“), welches auf einer Skala von 1 (überhaupt kein Vertrauen) bis 7 (sehr großes Vertrauen) gemessen wird, als Responsevariable verwendet. In Abbildung 5.9 sind die absoluten Häufigkeiten der einzelnen Kategorien der Variablen „healthsys“ zu sehen. Die Häufigkeitsverteilung ist rechtssteil und der Modus liegt bei Kategorie 5. Als erklärende Variablen werden folgende verwendet:
46	health: Gesundheitszustand des Befragten (von 1: sehr gut bis 5: schlecht) german: Staatsangehörigkeit (0: andere, 1: deutsch) east: Durchführung des Interviews in Ostdeutschland happy: allgemeine Zufriedenheit (von 0: sehr unzufrieden bis 10: sehr zufrieden)
47	Im Jahr 1990 wurden im Zuge der Wiedervereinigung die westdeutschen demokratischen Institutionen und das bestehende Parteiensystem auf die ostdeutschen Bundesländer ausgeweitet.  Auch 25 Jahre danach unterscheiden sich die Menschen in Ost­ und Westdeutschland weiterhin in ihrem politischen Engagement und ihren politischen Einstellungen.  Allerdings lassen sich diese Unterschiede keinesfalls pauschalieren.  Eine differenzierte Analyse von Befragungsdaten des Sozio­ökonomischen Panels (SOEP) zeigt, dass Unterschiede sowohl im allgemeinen Politikinteresse als auch bezüglich der aktiven Teilnahme an der Politik in vielen Jahren statistisch nicht nachweisbar sind.  Dagegen zeigen sich bei der Parteiverbundenheit und in der tatsächlichen Wahlbeteiligung im Bund und den Ländern starke, persistente Unterschiede zwischen Ost und West. Die Lücke in der Wahlbeteiligung bei Bundestagswahlen ist nicht nur seit Jahren auszumachen, sie ist auch über alle Altersgruppen hinweg deutlich erkennbar. Auch das Parteiensystem unterscheidet sich noch recht deutlich zwischen Ost­ und Westdeutschland. Dies zeigt sich insbesondere in der starken Rolle der Linken in Ostdeutschland, die sich trotz einiger Wahlerfolge in westdeutschen Parlamenten in den alten Bundesländern nicht vergleichbar etablieren konnten.  Bei den Einstellungen der Bürger zum Sozialstaat, die zu Beginn der 1990er Jahre deutlich unterschiedlich ausfielen, lässt sich in unseren Daten aber durchaus eine Angleichung von Ost und West feststellen.
48	Im Rahmen der Allgemeinen Bevölkerungsumfrage der Sozialwissenschaften (ALLBUS) wurden seit 1991 wiederholt die folgenden vier Fragen gestellt: „Finden Sie die sozialen Unterschiede in unserem Land im Großen und Ganzen ungerecht?“ „Werden die wirtschaftlichen Gewinne heute in Deutschland im Großen und Ganzen ungerecht verteilt?“ „Muss der Staat dafür sorgen, dass man auch bei Krankheit, Not, Arbeitslosigkeit und im Alter ein gutes Auskommen hat?“ „Sollten die Sozialleistungen in Zukunft ausgeweitet werden?“ Etwa 66 Prozent aller Befragten betrachten die sozialen Unterschiede im Großen und Ganzen als ungerecht(stimme eher/voll zu gegenüber stimme eher nicht/gar nicht zu), 79 Prozent halten die Verteilung der wirtschaftlichen Gewinne für ungerecht (stimme eher/voll zu gegenüber stimme eher nicht/gar nicht zu), 88 Prozent sehen den Staat im Fall von Krankheit, Not, Arbeitslosigkeit und im Alter in der Verantwortung (stimme eher/voll zu gegenüber stimme eher nicht/gar nicht zu), und schließlich plädieren 32 Prozent für die Ausweitung der Sozialleistungen (gegenüber der Kürzung der Sozialleistungen oder eines Beibehaltens des Status quo).
49	Globalisierung und Technisierung verändern zunehmend die Berufswelt, große sektorale Verschiebungen finden in der Arbeitswelt statt.  Immer weniger Menschen werden in Landwirtschaft und Produktion benötigt. Im Gegenzug erfolgt eine große Expansion des Dienstleistungsbereiches, in dem die freigesetzten Arbeitskräfte aus Landwirtschaft und Industrie teilweise neue Arbeit finden (vergleiche Abbildung 1.1).  Neben diesen äußeren Zwängen, sind es jedoch vor allem persönliche Motivationsfaktoren, die soziale Mobilität hervorbringen. Aus den Alltagserfahrungen wissen wir, dass jeder Einzelne danach bestrebt ist, seinen eigenen Status in der Gesellschaft aufrechtzuerhalten oder zu verbessern.  Die Offenheit bzw. soziale Durchlässigkeit einer Gesellschaft bestimmt dann, in welchem Ausmaß sich soziale Ungleichheit reproduziert, d.h. wie groß der Anteil derjenigen ist, die in der gleichen sozialen Position verbleiben, in die sie hineingeboren wurden, und welche Chancen sie haben, bestehende soziale Barrieren zu überwinden. Ein entscheidendes Merkmal für die Ungleichheitsstruktur einer Gesellschaft ist dabei das Ausmaß an Chancengleichheit für den Zugang zu privilegierten Klassenlagen.
50	Für die Variable Bildung wird der Indikator „höchster erreichter Bildungsabschluss“ verwendet. In die Analyse zur Bildungsmobilität werden somit “Höchster Bildungsabschluss, Befragte(r)“ und „Höchster Bildungsabschluss, Vater“ aufgenommen. Diese Indikatoren setzen sich zusammen aus dem Allgemeinen Schulabschluss, Fachhochschulabschluss und Hochschulabschluss. Nun wäre zu erwarten, dass bei intergenerationaler Mobilität, Väter mit Söhnen und Mütter mit Töchtern zu vergleichen sind. Zwar wurde auch der höchste Bildungsabschluss der Mütter erhoben, aber aus folgenden Gründen werden Frauen mit ihren Vätern verglichen und nicht mit den Müttern:
51	Am 12. Januar 2015 schwärmten 58 ForscherInnen und Studierende, 31 aus Berlin, 27 aus Chemnitz, auf den Platz der Auftaktkundgebung. Ziel der Aktion war es, mehr über die Proteste der „Patriotischen Europäer gegen die Islamisierung des Abendlandes“ (Pegida) herauszufinden.  Seit Oktober 2014 hatten sich in Dresden immer mehr Menschen unter diesem sperrigen Motto versammelt.  Mit den Protesten wuchs auch die Kritik an den völkischen und rassistischen Deutungsmustern, die dort Raum griffen. Wer waren die Demonstrierenden?  Was trieb sie auf die Straße?  Wie verbreitet waren die Ressentiments, die in Reden, Sprechchören und auf Transparenten hör- und sichtbar waren?  Um diese Fragen zu beantworten, kombinierten wir zwei sozialwissenschaftliche Methoden: Zum einen beobachteten wir das Geschehen systematisch: Welche Plakate und Symbole wurden bei der Auftaktkundgebung und dem anschließenden Protestmarsch mitgeführt? Welche Sprechchöre waren zu hören? Was war in den Reden zu hören und wie reagierte das Publikum? Zum anderen initiierten wir mit der Verteilung von Handzetteln während des Demonstrationsmarsches eine Online-Umfrage. Die TeilnehmerInnen wurden dazu aufgefordert, eine Internetadresse aufzurufen und – nach Eingabe eines Sicherheitscodes – einen Fragebogen auszufüllen.
52	Besonders augenfällig ist das hohe Bildungsniveau derjenigen, die sich an der Umfrage beteiligt haben – überwiegend mindestens Realschulabschluss, 35% sogar ein abgeschlossenes Studium. Zwar es ein in verschiedenen Studien belegter Zusammenhang, wer besser ausgebildet ist, beteiligt sich eher an Demonstrationen.
